epoch,accuracy,loss,val_accuracy,val_loss
0,0.5364999771118164,0.6936300992965698,0.5433168411254883,0.6913929581642151
1,0.5830000042915344,0.6772969365119934,0.6027227640151978,0.6787049770355225
2,0.6054999828338623,0.6638578176498413,0.6138613820075989,0.662500262260437
3,0.5809999704360962,0.6665336489677429,0.6014851331710815,0.6504567265510559
4,0.6334999799728394,0.6451423168182373,0.5990098714828491,0.647946298122406
5,0.6380000114440918,0.6273218393325806,0.6262376308441162,0.645478367805481
6,0.6614999771118164,0.6199911236763,0.6324257254600525,0.6273276805877686
7,0.6694999933242798,0.6119164824485779,0.6658415794372559,0.6073547601699829
8,0.6765000224113464,0.6028931140899658,0.6485148668289185,0.623904287815094
9,0.6850000023841858,0.5999069213867188,0.6868811845779419,0.5899499654769897
10,0.6930000185966492,0.5857633948326111,0.6918317079544067,0.5725586414337158
11,0.6850000023841858,0.5814659595489502,0.6720296740531921,0.5902493000030518
12,0.6959999799728394,0.5799477100372314,0.6745049357414246,0.5798732042312622
13,0.722000002861023,0.5607449412345886,0.6608911156654358,0.5987978577613831
14,0.703000009059906,0.5701761841773987,0.6955445408821106,0.5849416851997375
15,0.7049999833106995,0.563305675983429,0.7091584205627441,0.5632408857345581
16,0.7170000076293945,0.562049388885498,0.7277227640151978,0.5440824031829834
17,0.7080000042915344,0.556807279586792,0.6955445408821106,0.5690768957138062
18,0.7319999933242798,0.5473051071166992,0.7103960514068604,0.5656055808067322
19,0.7254999876022339,0.5461407899856567,0.7116336822509766,0.5571656823158264
