epoch,accuracy,loss,val_accuracy,val_loss
9,0.9114999771118164,0.22235208749771118,0.9727723002433777,0.06617233902215958
10,0.9259999990463257,0.175667867064476,0.9715346693992615,0.06932108849287033
11,0.9409999847412109,0.14780157804489136,0.9752475023269653,0.07077789306640625
12,0.9470000267028809,0.11722800135612488,0.9727723002433777,0.07161563634872437
13,0.9495000243186951,0.1245129257440567,0.9814356565475464,0.045126013457775116
14,0.9629999995231628,0.09292478859424591,0.9839109182357788,0.04164625331759453
15,0.9695000052452087,0.07959645986557007,0.9801980257034302,0.06452153623104095
16,0.9664999842643738,0.08599498122930527,0.9777227640151978,0.05320942774415016
17,0.9750000238418579,0.06890684366226196,0.9814356565475464,0.05102072283625603
18,0.9804999828338623,0.058552615344524384,0.9900990128517151,0.03769650310277939
19,0.9754999876022339,0.05953546240925789,0.9814356565475464,0.04980927333235741
