epoch,accuracy,loss,val_accuracy,val_loss
0,0.4984999895095825,0.9730430841445923,0.6757425665855408,0.6128125190734863
1,0.6974999904632568,0.6162633299827576,0.8254950642585754,0.384963721036911
2,0.8004999756813049,0.44781628251075745,0.8824257254600525,0.2911105155944824
3,0.8309999704360962,0.386468768119812,0.9047029614448547,0.23265929520130157
4,0.859499990940094,0.33395475149154663,0.9356435537338257,0.1777525097131729
5,0.878000020980835,0.28784945607185364,0.9356435537338257,0.1725929230451584
6,0.8759999871253967,0.28563392162323,0.9467821717262268,0.14900097250938416
7,0.8799999952316284,0.27553918957710266,0.9566831588745117,0.12445726245641708
8,0.8989999890327454,0.24303114414215088,0.9554455280303955,0.12041075527667999
9,0.9054999947547913,0.22920435667037964,0.9517326951026917,0.12347489595413208
