epoch,accuracy,loss,val_accuracy,val_loss
0,0.5005000233650208,0.7084766626358032,0.5086633563041687,0.6926857829093933
1,0.5249999761581421,0.6921151280403137,0.5977723002433777,0.6873682737350464
2,0.5540000200271606,0.6830089092254639,0.5853960514068604,0.6693435311317444
3,0.5874999761581421,0.6688956618309021,0.5829207897186279,0.662609875202179
4,0.609000027179718,0.6575282216072083,0.5779703259468079,0.6644315719604492
5,0.6060000061988831,0.6519219279289246,0.5952970385551453,0.6565489768981934
6,0.6570000052452087,0.63126140832901,0.5866336822509766,0.6564151048660278
7,0.671500027179718,0.6020649671554565,0.6150990128517151,0.6447245478630066
8,0.6819999814033508,0.5972597599029541,0.6398515105247498,0.640276312828064
9,0.6930000185966492,0.5757343769073486,0.6349009871482849,0.6333298683166504
10,0.7225000262260437,0.5490275025367737,0.6435643434524536,0.6371996402740479
11,0.7329999804496765,0.5409495830535889,0.6683168411254883,0.6073225140571594
12,0.737500011920929,0.5330737829208374,0.6806930899620056,0.6145788431167603
13,0.7409999966621399,0.5188155174255371,0.6336633563041687,0.6599388718605042
14,0.7534999847412109,0.4967817962169647,0.6868811845779419,0.6009217500686646
15,0.7615000009536743,0.4752436876296997,0.6608911156654358,0.6497646570205688
16,0.7450000047683716,0.4902611970901489,0.6757425665855408,0.6131195425987244
17,0.7850000262260437,0.46090972423553467,0.6794554591178894,0.6077861785888672
18,0.8019999861717224,0.42305687069892883,0.7004950642585754,0.5972133278846741
19,0.815500020980835,0.41206100583076477,0.698019802570343,0.6367229223251343
20,0.8314999938011169,0.3762386739253998,0.6806930899620056,0.6800606846809387
21,0.8410000205039978,0.3534236550331116,0.7017326951026917,0.623747706413269
22,0.8220000267028809,0.39453625679016113,0.7153465151786804,0.6098001599311829
23,0.8504999876022339,0.34346717596054077,0.6881188154220581,0.7136616706848145
